Referencia;Sheet;1Q11;2Q11;3Q11;4Q11;2011;1Q12;2Q12;3Q12;4Q12;2012;1Q13;2Q13;3Q13;4Q13;2013;1Q14;2Q14;3Q14;4Q14;2014;1Q15;2Q15;3Q15;4Q15;2015;1Q16;2Q16;3Q16;4Q16;2016;1Q17;2Q17;3Q17;4Q17;2017;1Q18;2Q18;3Q18;4Q18;2018;1Q19;2Q19;3Q19;4Q19;2019;1Q20;2Q20;3Q20;4Q20;2020;1Q21;2Q21;3Q21;4Q21;2021;1Q22;2Q22;3Q22;4Q22;2022;1Q23;2Q23;3Q23
Principais Indicadores - Índice de Basiléia (aplicável apenas ao Banco BTG Pactual);InputSite_Highlights;0,18;0,19;0,19;0,19;0,19;0,17;0,19;0,18;0,18;0,18;0,18;0,19;0,19;0,18;0,18;0,17;0,16;0,16;0,17;0,17;0,17;0,17;0,14;0,15;0,15;0,15;0,14;0,16;0,22;0,22;0,19;0,19;0,17;0,18;0,18;0,16;0,17;0,18;0,17;0,17;0,18;0,15;0,15;0,15;0,15;0,19;0,20;0,17;0,17;0,17;0,18;0,17;0,16;0,16;0,16;0,15;0,15;0,15;0,15;0,15;0,16;0,15;0,17
Ativos - Ativos ilíquidos;InputSite_Highlights;-;-;-;-;-;-;-;-;8676,47;8676,47;-;-;-;8963,39;8963,39;-;-;-;10689,66;10689,66;13666,37;12938,60;15429,37;13234,78;13234,78;11808,15;10913,43;18621,66;15807,53;15807,53;16608,78;17259,86;16173,54;16330,64;16330,64;17099,02;18006,40;18477,08;17229,97;17229,97;17774,92;17382,35;17896,39;17570,75;17570,75;20722,30;20800,35;21640,77;22137,55;22137,55;23020,31;18728,06;19987,86;22165,14;22165,14;21398,08;22826,72;23643,46;23994,03;23994,03;25419,10;24723,61;24457,69
Ativos - Ativos do Banco Pan;InputSite_Highlights;-;-;-;-;-;-;-;-;0,00;0,00;-;-;-;0,00;0,00;-;-;-;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;42682,50;43404,42;46715,47;46715,47;50079,66;51133,43;51974,79;50170,50;50170,50;51241,55;48659,62;49868,00
Ativos - Outros valores e bens;InputSite_Highlights;-;-;-;-;-;-;-;-;1365,00;1365,00;-;-;-;2665,53;2665,53;-;-;-;7567,96;7567,96;10585,33;12175,53;15210,99;17203,00;17203,00;17312,43;17063,42;9347,71;11056,41;11056,41;10105,28;10876,19;13072,98;14182,11;14182,11;15922,34;11508,94;12101,80;11994,55;11994,55;11233,79;11187,04;10840,59;10933,71;10933,71;12141,78;13698,99;13600,26;13826,90;13826,90;14008,43;13121,34;12939,98;13816,15;13816,15;17564,26;18687,10;19324,83;26231,99;26231,99;30709,02;21758,97;21200,51
Ativos - Carteira de crédito;InputSite_Highlights;-;-;-;-;-;-;-;-;23724,33;23724,33;-;-;-;28650,77;28650,77;-;-;-;36742,66;36742,66;32728,61;34268,95;81032,67;63499,65;63499,65;57265,45;46097,03;15682,33;12999,51;12999,51;13655,86;13864,60;13283,36;13597,33;13597,33;13726,09;15392,98;16411,35;17892,81;17892,81;19732,74;21756,93;26131,51;29751,52;29751,52;32920,56;41337,72;49613,49;54041,32;54041,32;59270,85;62133,42;74713,37;83922,37;83922,37;85221,58;90441,97;97238,93;104039,62;104039,62;104893,44;109079,36;116345,06
Ativos - Ativos financeiros;InputSite_Highlights;-;-;-;-;-;-;-;-;30336,65;30336,65;-;-;-;40740,34;40740,34;-;-;-;58771,47;58771,47;68721,89;61479,91;91735,58;91458,16;91458,16;79728,31;74356,75;41067,23;38148,36;38148,36;43704,18;33987,34;28752,17;38898,01;38898,01;41331,05;46324,86;47121,36;37337,76;37337,76;51377,25;54299,53;60782,23;52691,72;52691,72;56399,52;70233,48;77131,53;54297,05;54297,05;79895,93;79195,23;88820,20;69111,99;69111,99;87837,07;122793,18;91260,35;111027,22;111027,22;113195,27;106490,77;114968,96
Ativos - Liquidação pendente;InputSite_Highlights;-;-;-;-;-;-;-;-;3296,91;3296,91;-;-;-;7697,03;7697,03;-;-;-;9795,18;9795,18;12296,53;10693,53;14193,91;11730,98;11730,98;8176,19;4737,65;2175,71;1914,04;1914,04;2538,32;2671,47;5054,85;3225,50;3225,50;8794,29;8608,90;13093,40;3834,74;3834,74;6483,42;8847,25;5062,10;6326,67;6326,67;9186,81;8903,53;7743,91;4724,32;4724,32;7886,89;3823,47;8388,76;5760,97;5760,97;6184,45;7258,36;5961,43;4926,95;4926,95;5122,73;8240,71;7752,52
Ativos - Ativos vinculados a compromissos de recompra (REPO);InputSite_Highlights;-;-;-;-;-;-;-;-;51542,58;51542,58;-;-;-;24847,82;24847,82;-;-;-;29995,57;29995,57;32832,00;39512,27;31937,30;16773,15;16773,15;12212,42;17276,86;17434,28;19191,06;19191,06;27701,98;29832,96;25295,73;27525,51;27525,51;32025,37;40480,70;38899,16;28029,03;28029,03;36026,74;38364,18;28381,43;29759,49;29759,49;50494,46;45794,97;47991,87;54553,37;54553,37;48891,68;69205,85;73345,91;53480,54;53480,54;68414,64;82406,63;91538,43;74765,71;74765,71;78829,80;89918,41;93506,44
Ativos - Caixa e equivalentes de caixa;InputSite_Highlights;-;-;-;-;-;-;-;-;4374,20;4374,20;-;-;-;6196,45;6196,45;-;-;-;9100,36;9100,36;9078,67;9936,46;40870,82;40648,97;40648,97;37226,25;32974,74;14699,42;12654,65;12654,65;10856,10;10620,83;12077,21;12832,55;12832,55;17435,91;17093,03;17751,57;21327,55;21327,55;22089,24;21792,46;18891,97;17348,78;17348,78;18491,63;29642,12;35490,05;41344,84;41344,84;46829,63;46305,47;50634,19;51170,03;51170,03;54649,32;59279,76;58962,49;55456,07;55456,07;60990,57;65680,69;68339,93
Ativos - Total Ativos;InputSite_Highlights;-;-;-;-;-;-;-;-;123316,13;123316,13;-;-;-;119761,33;119761,33;-;-;-;162662,86;162662,86;179909,39;181005,24;290410,62;254548,68;254548,68;223729,19;203419,87;119028,33;111771,56;111771,56;125170,50;119113,24;113709,83;126591,64;126591,64;146334,06;157415,80;163855,73;137646,42;137646,42;164718,10;173629,73;167986,23;164382,63;164382,63;200357,05;230411,17;253211,89;244925,34;244925,34;279803,73;335195,34;372234,68;346142,67;346142,67;391349,06;454827,15;439904,72;450612,09;450612,09;470401,48;474552,15;496439,11
Passivos - Patrimônio líquido;InputSite_Highlights;-;-;-;-;-;-;-;-;10101,47;10101,47;-;-;-;12127,82;12127,82;-;-;-;14733,33;14733,33;15522,28;16333,51;18919,30;19713,27;19713,27;20401,23;20882,17;21314,48;17727,22;17727,22;18337,83;18079,31;18609,30;18527,81;18527,81;18702,49;19218,98;19180,18;18844,93;18844,93;19449,08;20433,72;20821,09;21386,63;21386,63;22053,35;25627,62;26048,84;26680,66;26680,66;30414,35;36613,39;37865,60;39040,62;39040,62;41569,59;43495,11;44418,31;44468,14;44468,14;46244,68;48768,21;49845,00
Passivos - Perpetuo;InputSite_Highlights;-;-;-;-;-;-;-;-;0,00;0,00;-;-;-;0,00;0,00;-;-;-;3497,84;3497,84;4144,95;3857,93;4510,27;3544,31;3544,31;3080,12;2820,65;2478,40;2594,83;2594,83;4104,18;4377,90;4104,80;3043,31;3043,31;3007,62;3559,81;3618,87;3579,53;3579,53;3500,10;3514,85;382,09;388,09;388,09;380,82;384,35;379,76;382,07;382,07;379,88;383,64;381,91;390,83;390,83;384,80;399,56;387,47;428,84;428,84;423,63;438,29;423,82
